"LAT","LON","ship_type","SHIPNAME","DATETIME","DIFFERENCE","ID","ship_type_and_name","DISTANCE","TIME","TYPE"
57.67988,11.81698,"Cargo","ARK FORWARDER",2016-12-14 02:29:07,268078,168818,"Cargo ARK FORWARDER",13920.1633069232,268078,"departure"
57.94259,11.69145,"Cargo","ASIAN BREEZE",2016-12-13 14:29:05,121,181637,"Cargo ASIAN BREEZE",NA,NA,"arrival"
57.95189,11.70251,"Cargo","ASIAN BREEZE",2016-12-13 14:27:05,120,181638,"Cargo ASIAN BREEZE",1224.2184372048,120,"departure"
57.91386,11.62603,"Cargo","ASIAN VISION",2016-12-16 20:33:05,119,181689,"Cargo ASIAN VISION",NA,NA,"arrival"
57.9181,11.60256,"Cargo","ASIAN VISION",2016-12-16 20:31:04,121,181690,"Cargo ASIAN VISION",1465.8211542629,121,"departure"
54.52776,18.78247,"Cargo","ASKOE",2016-12-14 19:57:07,115,187241,"Cargo ASKOE",NA,NA,"arrival"
54.54969,18.81589,"Cargo","ASKOE",2016-12-14 19:55:01,121,187242,"Cargo ASKOE",3258.53754484997,126,"departure"
57.655,11.7413,"Cargo","ASPEN",2016-12-16 04:02:20,45,187501,"Cargo ASPEN",NA,NA,"arrival"
57.64979,11.71182,"Cargo","ASPEN",2016-12-16 03:59:06,194,187502,"Cargo ASPEN",1849.19204823902,194,"departure"
57.6118,11.62322,"Cargo","ASTRORUNNER",2016-12-20 04:39:13,112,187915,"Cargo ASTRORUNNER",NA,NA,"arrival"
57.60032,11.65497,"Cargo","ASTRORUNNER",2016-12-13 18:09:05,556208,187916,"Cargo ASTRORUNNER",2284.40804530965,556208,"departure"
57.64611,11.70513,"Cargo","ATLANTIC CARTIER",2016-12-19 04:27:05,120,195609,"Cargo ATLANTIC CARTIER",NA,NA,"arrival"
57.63336,11.69312,"Cargo","ATLANTIC CARTIER",2016-12-19 04:25:06,119,195610,"Cargo ATLANTIC CARTIER",1589.51152682797,119,"departure"
59.90889,30.06385,"Cargo","ATLANTIC NAVIGATORII",2016-12-17 14:37:04,119,197628,"Cargo ATLANTIC NAVIGATORII",NA,NA,"arrival"
59.91239,30.04606,"Cargo","ATLANTIC NAVIGATORII",2016-12-17 14:35:04,119,197629,"Cargo ATLANTIC NAVIGATORII",1066.57129895041,120,"departure"
59.90658,30.22843,"Cargo","ATLANTIC RUNNER",2016-12-14 15:07:04,120,201780,"Cargo ATLANTIC RUNNER",NA,NA,"arrival"
59.90295,30.22353,"Cargo","ATLANTIC RUNNER",2016-12-14 15:05:05,118,201781,"Cargo ATLANTIC RUNNER",487.955308139916,119,"departure"
54.62413,18.92408,"Cargo","ATROTOS HERACLES",2016-12-17 07:37:02,120,207190,"Cargo ATROTOS HERACLES",NA,NA,"arrival"
54.61001,18.91085,"Cargo","ATROTOS HERACLES",2016-12-17 07:35:01,121,207191,"Cargo ATROTOS HERACLES",1788.26495055165,121,"departure"
59.91502,30.0328,"Cargo","AUTO BAY",2016-12-14 17:37:05,118,214095,"Cargo AUTO BAY",NA,NA,"arrival"
59.90988,30.05801,"Cargo","AUTO BAY",2016-12-14 17:35:04,120,214096,"Cargo AUTO BAY",1518.79684430855,121,"departure"
59.90859,30.06578,"Cargo","AUTUMN WAVE",2016-12-19 09:33:04,120,214326,"Cargo AUTUMN WAVE",NA,NA,"arrival"
59.9051,30.08308,"Cargo","AUTUMN WAVE",2016-12-19 09:31:05,118,214327,"Cargo AUTUMN WAVE",1040.84858312292,119,"departure"
59.9099,30.05861,"Cargo","AVELONA STAR",2016-12-17 02:51:04,119,220711,"Cargo AVELONA STAR",NA,NA,"arrival"
59.91263,30.04486,"Cargo","AVELONA STAR",2016-12-17 02:49:04,119,220712,"Cargo AVELONA STAR",825.359724235261,120,"departure"
55.67568,21.14048,"Cargo","BALDER",2016-12-19 16:33:15,111,221377,"Cargo BALDER",NA,NA,"arrival"
55.66048,21.14977,"Cargo","BALDER",2016-12-19 16:25:06,489,221378,"Cargo BALDER",1789.7586280234,489,"departure"
59.90739,30.07238,"Cargo","BALTIC HEATHER",2016-12-20 02:19:04,120,227177,"Cargo BALTIC HEATHER",NA,NA,"arrival"
59.9126,30.04639,"Cargo","BALTIC HEATHER",2016-12-20 02:17:04,119,227178,"Cargo BALTIC HEATHER",1562.1813362464,120,"departure"
